event_time,event_mag,station,phase,pn_time,confidence,matched,residual
2020-03-21 01:33:36.220,4.71,CMB,P,2020-03-21 01:33:57.384538,0.93927765,True,0.034538
2020-03-21 01:33:36.220,4.71,CMB,S,2020-03-21 01:34:12.784538,0.54254985,False,
2020-03-21 01:33:36.220,4.71,DANT,P,2020-03-21 01:34:11.681860,0.5992905,False,
2020-03-21 01:33:36.220,4.71,JEPS,S,2020-03-21 01:34:36.065000,0.54628444,False,
2020-03-21 01:33:36.220,4.71,KCC,P,2020-03-21 01:34:08.194538,0.87831146,True,0.064538
2020-03-21 01:33:36.220,4.71,KCC,S,2020-03-21 01:34:33.714538,0.66842973,False,
2020-03-21 01:33:36.220,4.71,ORV,P,2020-03-21 01:34:01.684538,0.8327984,True,0.104538
2020-03-21 01:33:36.220,4.71,QRDG,P,2020-03-21 01:34:10.795000,0.6447351,True,0.125
2020-03-21 01:33:36.220,4.71,QRDG,S,2020-03-21 01:34:18.075000,0.34116656,False,
2021-10-25 23:42:35.860,4.65,FORD,P,2021-10-25 23:42:54.701860,0.77396435,True,0.01186
2021-10-25 23:42:35.860,4.65,FORD,S,2021-10-25 23:43:10.231860,0.3120027,False,
2021-10-25 23:42:35.860,4.65,HAS2,P,2021-10-25 23:42:48.309200,0.9176193,True,0.2192
2021-10-25 23:42:35.860,4.65,HAS2,S,2021-10-25 23:42:57.259200,0.6481716,False,
2021-10-25 23:42:35.860,4.65,HULI,P,2021-10-25 23:42:41.451860,0.9331081,True,0.08186
2021-10-25 23:42:35.860,4.65,HULI,S,2021-10-25 23:42:45.641860,0.70058227,True,0.22186
2021-10-25 23:42:35.860,4.65,JRSC,P,2021-10-25 23:43:04.909538,0.4561877,True,0.059538
2021-10-25 23:42:35.860,4.65,KARE,P,2021-10-25 23:43:04.405000,0.66501737,False,
2021-07-08 23:33:40.900,4.63,BUCR,P,2021-07-08 23:33:58.260000,0.9211774,True,0.03
2021-07-08 23:33:40.900,4.63,BUCR,S,2021-07-08 23:35:27.130000,0.36404642,False,
2021-07-08 23:33:40.900,4.63,CMB,P,2021-07-08 23:33:55.759537,0.924037,True,-0.000463
2021-07-08 23:33:40.900,4.63,CMB,S,2021-07-08 23:34:06.319537,0.8317386,False,
2021-07-08 23:33:40.900,4.63,HELL,P,2021-07-08 23:34:14.314200,0.89442337,True,0.0042
2021-07-08 23:33:40.900,4.63,HELL,P,2021-07-08 23:34:38.534200,0.38732266,False,
2021-07-08 23:33:40.900,4.63,JEPS,P,2021-07-08 23:34:14.760000,0.8608466,True,0.06
2021-07-08 23:33:40.900,4.63,JEPS,S,2021-07-08 23:34:40.120000,0.39185715,False,
2021-07-08 23:33:40.900,4.63,KARE,P,2021-07-08 23:34:14.890000,0.80309355,True,0.09
2021-07-08 23:33:40.900,4.63,KARE,S,2021-07-08 23:34:39.600000,0.41565442,False,
2021-05-07 04:35:14.150,4.63,AONC,P,2021-05-07 04:35:40.201860,0.84570587,True,0.03186
2021-05-07 04:35:14.150,4.63,BCCR,P,2021-05-07 04:35:29.764200,0.4502287,False,
2021-05-07 04:35:14.150,4.63,BCCR,P,2021-05-07 04:35:35.254200,0.85658866,True,0.0942
2021-05-07 04:35:14.150,4.63,BDM,P,2021-05-07 04:35:47.389538,0.7688954,True,0.089538
2021-05-07 04:35:14.150,4.63,BUCR,P,2021-05-07 04:35:45.020000,0.88865244,True,0.07
2021-05-07 04:35:14.150,4.63,CMB,P,2021-05-07 04:35:39.049537,0.89134645,True,0.069537
2021-05-07 04:35:14.150,4.63,CMB,P,2021-05-07 04:35:57.699537,0.33110395,False,
2021-05-07 04:35:14.150,4.63,DANT,P,2021-05-07 04:35:39.421860,0.7510835,True,0.14186
2021-05-07 04:35:14.150,4.63,EAGL,P,2021-05-07 04:35:36.064199,0.90854543,True,0.054199
2021-05-07 04:35:14.150,4.63,EAGL,S,2021-05-07 04:35:52.644199,0.41945863,False,
2021-05-07 04:35:14.150,4.63,GTSB,P,2021-05-07 04:35:45.204199,0.78877157,True,0.104199
2021-05-07 04:35:14.150,4.63,GTSB,S,2021-05-07 04:36:08.614199,0.46565253,False,
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:45:53.500000,0.34467077,False,
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:46:12.440000,0.5348035,False,
2021-07-09 01:46:00.400,4.55,BUCR,P,2021-07-09 01:46:18.210000,0.913044,True,0.05
2021-07-09 01:46:00.400,4.55,BUCR,S,2021-07-09 01:46:30.850000,0.732064,False,
2021-07-09 01:46:00.400,4.55,BUCR,P,2021-07-09 01:47:29.960000,0.7175024,False,
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:46:15.529541,0.9267753,True,0.009541
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:46:26.329541,0.37599877,False,
2021-07-09 01:46:00.400,4.55,CMB,S,2021-07-09 01:46:26.379541,0.5332865,False,
2021-07-09 01:46:00.400,4.55,CMB,P,2021-07-09 01:47:14.769541,0.91206145,False,
2021-07-09 01:46:00.400,4.55,CMB,S,2021-07-09 01:47:25.609541,0.68613386,False,
2021-07-09 01:46:00.400,4.55,HELL,S,2021-07-09 01:46:05.114200,0.74683225,False,
2021-07-09 01:46:00.400,4.55,HELL,P,2021-07-09 01:46:34.094200,0.7679882,True,-0.0758
2021-07-09 01:46:00.400,4.55,HELL,S,2021-07-09 01:46:58.644200,0.5813601,False,
2021-07-09 01:46:00.400,4.55,JEPS,P,2021-07-09 01:46:34.260000,0.77832425,True,0.08
2021-07-09 01:46:00.400,4.55,KARE,P,2021-07-09 01:46:34.750000,0.95138687,True,0.04
2020-04-11 16:22:50.940,4.55,BUCR,P,2020-04-11 16:23:12.320000,0.7265299,True,-0.12
2020-04-11 16:22:50.940,4.55,BUCR,P,2020-04-11 16:23:13.470000,0.3832711,False,
2020-04-11 16:22:50.940,4.55,BUCR,S,2020-04-11 16:23:27.500000,0.66295195,False,
2020-04-11 16:22:50.940,4.55,CMB,P,2020-04-11 16:23:14.574538,0.7988353,True,0.084538
2020-04-11 16:22:50.940,4.55,CMB,S,2020-04-11 16:23:31.554538,0.37949196,False,
2020-04-11 16:22:50.940,4.55,KARE,P,2020-04-11 16:23:19.860000,0.8289559,True,-0.01
2020-04-11 16:22:50.940,4.55,KARE,S,2020-04-11 16:23:41.220000,0.4938796,False,
2020-04-11 16:22:50.940,4.55,KCC,P,2020-04-11 16:23:06.854538,0.80820525,True,0.034538
2020-04-11 16:22:50.940,4.55,KCC,S,2020-04-11 16:23:18.204538,0.67466366,False,
2020-04-11 16:22:50.940,4.55,LIND,P,2020-04-11 16:23:22.170000,0.8063582,True,0.15
2020-04-11 16:22:50.940,4.55,LIND,S,2020-04-11 16:23:44.630000,0.3989029,False,
2020-04-11 16:22:50.940,4.55,OVRO,P,2020-04-11 16:23:08.336860,0.8413341,True,0.05686
2020-04-11 16:22:50.940,4.55,OVRO,S,2020-04-11 16:23:21.516860,0.65407157,False,
